,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(10, 1)",0.0,7.0,10.0,3.056666666666609e-06,0.0,2.0,5.0,1.0,10.0,10.0,0.0
1,"(10, 1)",1.0,10.0,6.0,5.228611111111121e-06,2.0,2.0,6.0,0.0,9.0,10.0,0.0
2,"(10, 1)",0.0,8.0,6.0,8.668055555555535e-06,3.0,2.0,7.0,1.0,10.0,10.0,0.0
3,"(10, 1)",1.0,10.0,5.0,8.707777777777758e-06,5.0,2.0,4.0,0.0,8.0,10.0,0.0
4,"(10, 1)",1.0,10.0,8.0,1.1886388888888895e-05,2.0,1.0,4.0,1.0,10.0,10.0,0.0
5,"(10, 1)",1.0,10.0,9.0,1.249249999999998e-05,1.0,1.0,5.0,1.0,10.0,10.0,0.0
6,"(10, 1)",0.0,9.0,8.0,1.2595277777777753e-05,2.0,2.0,2.0,0.0,8.0,10.0,0.0
7,"(10, 1)",0.0,9.0,10.0,1.3733888888888885e-05,0.0,2.0,4.0,1.0,10.0,10.0,0.0
8,"(10, 1)",0.0,9.0,9.0,1.4441388888888907e-05,1.0,2.0,3.0,0.0,8.0,10.0,0.0
9,"(10, 1)",0.0,8.0,9.0,1.476194444444449e-05,1.0,2.0,6.0,1.0,10.0,10.0,0.0
10,"(10, 1)",0.0,8.0,10.0,2.5861111111110916e-06,0.0,2.0,5.0,0.0,9.0,10.0,0.0
11,"(10, 1)",1.0,10.0,8.0,6.07777777777775e-06,2.0,2.0,5.0,1.0,10.0,10.0,0.0
12,"(10, 1)",1.0,10.0,6.0,5.791666666666677e-06,4.0,1.0,5.0,1.0,10.0,10.0,0.0
13,"(10, 1)",1.0,10.0,6.0,6.271111111111092e-06,4.0,1.0,3.0,0.0,9.0,10.0,0.0
14,"(10, 1)",1.0,10.0,6.0,7.075000000000029e-06,3.0,2.0,6.0,1.0,10.0,10.0,0.0
15,"(10, 1)",1.0,10.0,5.0,8.790277777777756e-06,5.0,1.0,3.0,0.0,9.0,10.0,0.0
16,"(10, 1)",1.0,10.0,5.0,8.966388888888874e-06,3.0,1.0,7.0,1.0,10.0,10.0,0.0
17,"(10, 1)",1.0,10.0,4.0,1.0268611111111104e-05,5.0,2.0,4.0,1.0,10.0,10.0,0.0
18,"(10, 1)",0.0,8.0,10.0,1.1426666666666684e-05,0.0,2.0,5.0,1.0,10.0,10.0,0.0
19,"(10, 1)",1.0,10.0,9.0,1.1508611111111109e-05,1.0,2.0,3.0,1.0,10.0,10.0,0.0
