,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(2, 1)",1.0,2.0,2.0,5.502777777777807e-07,0.0,1.0,0.0,0.0,1.0,2.0,0.0
1,"(2, 1)",1.0,2.0,2.0,1.3355555555555344e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
2,"(2, 1)",1.0,2.0,1.0,2.406944444444423e-06,1.0,2.0,1.0,1.0,2.0,2.0,0.0
3,"(2, 1)",1.0,2.0,1.0,3.483611111111087e-06,1.0,1.0,1.0,1.0,2.0,2.0,0.0
4,"(2, 1)",1.0,2.0,2.0,3.2511111111110937e-06,0.0,2.0,0.0,0.0,1.0,2.0,0.0
5,"(2, 1)",1.0,2.0,1.0,3.568333333333309e-06,1.0,2.0,1.0,1.0,2.0,2.0,0.0
6,"(2, 1)",1.0,2.0,2.0,3.6088888888888592e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
7,"(2, 1)",1.0,2.0,2.0,4.100277777777784e-06,0.0,2.0,0.0,0.0,1.0,2.0,0.0
8,"(2, 1)",1.0,2.0,2.0,3.5650000000000036e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
9,"(2, 1)",1.0,2.0,2.0,2.569444444444439e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
10,"(2, 1)",1.0,2.0,1.0,4.7327777777777465e-06,1.0,1.0,1.0,1.0,2.0,2.0,0.0
11,"(2, 1)",1.0,2.0,2.0,3.1297222222222604e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
12,"(2, 1)",0.0,0.0,2.0,2.71222222222219e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
13,"(2, 1)",1.0,2.0,2.0,2.5025000000000125e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
14,"(2, 1)",1.0,2.0,2.0,1.8950000000000293e-06,0.0,1.0,1.0,1.0,2.0,2.0,0.0
15,"(2, 1)",1.0,2.0,2.0,1.2119444444444152e-06,0.0,1.0,0.0,1.0,2.0,2.0,0.0
16,"(2, 1)",1.0,2.0,2.0,2.5841666666666837e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
17,"(2, 1)",1.0,2.0,2.0,1.8991666666666617e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
18,"(2, 1)",1.0,2.0,2.0,1.9066666666666614e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
19,"(2, 1)",1.0,2.0,1.0,9.208333333333214e-07,1.0,1.0,0.0,0.0,1.0,2.0,0.0
