,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(5, 20)",0.0,78.0,5.0,0.00013639277777777772,0.0,3.0,0.0,0.0,87.0,5.0,0.0
1,"(5, 20)",0.0,75.0,5.0,0.00016567583333333338,0.0,3.0,0.0,0.0,88.0,5.0,0.0
2,"(5, 20)",0.0,72.0,5.0,0.0002356291666666667,0.0,3.0,0.0,0.0,86.0,5.0,0.0
3,"(5, 20)",0.0,72.0,5.0,0.0003102775,0.0,3.0,0.0,0.0,76.0,5.0,0.0
4,"(5, 20)",0.0,83.0,5.0,0.0004245966666666667,0.0,3.0,0.0,0.0,84.0,5.0,0.0
5,"(5, 20)",0.0,81.0,5.0,0.0005142747222222222,0.0,3.0,0.0,0.0,85.0,5.0,0.0
6,"(5, 20)",0.0,88.0,5.0,0.0006892002777777777,0.0,3.0,0.0,0.0,90.0,5.0,0.0
7,"(5, 20)",0.0,75.0,5.0,0.0007441708333333333,0.0,3.0,0.0,0.0,85.0,5.0,0.0
8,"(5, 20)",0.0,75.0,5.0,0.000767976388888889,0.0,3.0,0.0,0.0,87.0,5.0,0.0
9,"(5, 20)",0.0,86.0,5.0,0.0008002683333333334,0.0,3.0,0.0,0.0,85.0,5.0,0.0
10,"(5, 20)",0.0,71.0,5.0,9.335777777777782e-05,0.0,3.0,0.0,0.0,89.0,5.0,0.0
11,"(5, 20)",0.0,79.0,5.0,0.0001733286111111111,0.0,3.0,0.0,0.0,89.0,5.0,0.0
12,"(5, 20)",0.0,75.0,5.0,0.00025370972222222226,0.0,3.0,0.0,0.0,86.0,5.0,0.0
13,"(5, 20)",0.0,82.0,5.0,0.00031429027777777783,0.0,3.0,0.0,0.0,78.0,5.0,0.0
14,"(5, 20)",0.0,81.0,5.0,0.00045649250000000014,0.0,3.0,0.0,0.0,86.0,5.0,0.0
15,"(5, 20)",0.0,82.0,5.0,0.00048253111111111127,0.0,3.0,0.0,0.0,83.0,5.0,0.0
16,"(5, 20)",0.0,80.0,5.0,0.0007135969444444445,0.0,3.0,0.0,0.0,88.0,5.0,0.0
17,"(5, 20)",0.0,83.0,5.0,0.0008053272222222223,0.0,3.0,0.0,0.0,84.0,5.0,0.0
18,"(5, 20)",0.0,81.0,5.0,0.0008179641666666666,0.0,3.0,0.0,0.0,88.0,5.0,0.0
19,"(5, 20)",0.0,87.0,5.0,0.0007618611111111109,0.0,3.0,0.0,0.0,87.0,5.0,0.0
