,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(4, 4)",0.0,137.0,64.0,0.0005964216666666666,0.0,2.0,0.0,0.0,71.0,64.0,0.0
1,"(4, 4)",0.0,135.0,64.0,0.0005909272222222224,0.0,2.0,0.0,0.0,71.0,64.0,0.0
2,"(4, 4)",0.0,129.0,64.0,0.004283703333333333,0.0,2.0,0.0,0.0,71.0,64.0,0.0
3,"(4, 4)",0.0,130.0,64.0,0.004764880277777778,0.0,2.0,0.0,0.0,71.0,64.0,0.0
4,"(4, 4)",0.0,135.0,64.0,0.005497059722222222,0.0,2.0,0.0,0.0,71.0,64.0,0.0
5,"(4, 4)",0.0,137.0,64.0,0.0057071150000000005,0.0,2.0,0.0,0.0,71.0,64.0,0.0
6,"(4, 4)",0.0,145.0,64.0,0.005411302777777778,0.0,2.0,0.0,0.0,71.0,64.0,0.0
7,"(4, 4)",0.0,136.0,64.0,0.005927477222222222,0.0,2.0,0.0,0.0,71.0,64.0,0.0
8,"(4, 4)",0.0,124.0,64.0,0.0056341824999999995,0.0,2.0,0.0,0.0,71.0,64.0,0.0
9,"(4, 4)",0.0,130.0,64.0,0.005465375555555554,0.0,2.0,0.0,0.0,71.0,64.0,0.0
10,"(4, 4)",0.0,138.0,64.0,0.005622200833333333,0.0,2.0,0.0,0.0,71.0,64.0,0.0
11,"(4, 4)",0.0,133.0,64.0,0.0055335775,0.0,2.0,0.0,0.0,71.0,64.0,0.0
12,"(4, 4)",0.0,133.0,64.0,0.0027808099999999994,0.0,2.0,0.0,0.0,71.0,64.0,0.0
13,"(4, 4)",0.0,127.0,64.0,0.0021272794444444445,0.0,2.0,0.0,0.0,71.0,64.0,0.0
14,"(4, 4)",0.0,131.0,64.0,0.0005893147222222221,0.0,2.0,0.0,0.0,71.0,64.0,0.0
15,"(4, 4)",0.0,128.0,64.0,0.002661936944444445,0.0,2.0,0.0,0.0,71.0,64.0,0.0
16,"(4, 4)",0.0,135.0,64.0,0.002784375,0.0,2.0,0.0,0.0,71.0,64.0,0.0
17,"(4, 4)",0.0,146.0,64.0,0.0027704094444444454,0.0,2.0,0.0,0.0,71.0,64.0,0.0
18,"(4, 4)",0.0,140.0,64.0,0.0027710236111111127,0.0,2.0,0.0,0.0,71.0,64.0,0.0
19,"(4, 4)",0.0,137.0,64.0,0.002754269999999999,0.0,2.0,0.0,0.0,71.0,64.0,0.0
