,N and C,SAT Percentage,Average Percentage of SAT Clauses,Average Percent Hamming distance,Average Runtime,Average Percent Dont Care,Average Number of Iterations,Average number of absent literals,SAT Percentage (MV),Average Percentage of SAT Clauses(MV),Average Percent Hamming distance (MV),Average Number of Contradictions (WP)
0,"(15, 1)",55.00000000000001,94.0,75.66666666666667,4.7027402777777794e-05,0.23,1.7,0.42,50.0,96.33333333333333,100.0,0.0
1,"(15, 2)",95.0,99.83333333333333,75.66666666666667,6.520963888888887e-05,0.24000000000000002,2.0,0.1,20.0,95.66666666666667,100.0,0.0
2,"(15, 15)",0.0,87.15555555555555,93.33333333333333,0.0015668373750000002,0.06666666666666667,2.0,0.0,0.0,89.44444444444444,100.0,0.0
3,"(15, 20)",0.0,88.13333333333333,93.33333333333333,0.003308974569444445,0.06666666666666667,2.0,0.0,0.0,89.01666666666667,100.0,0.0
4,"(15, 25)",0.0,87.49333333333334,93.33333333333333,0.005134518583333334,0.06666666666666667,2.0,0.0,0.0,88.72,100.0,0.0
