,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(15, 1)",0.0,14.0,14.0,2.1118055555555558e-05,1.0,2.0,6.0,0.0,14.0,15.0,0.0
1,"(15, 1)",1.0,15.0,10.0,1.6799444444444453e-05,4.0,1.0,5.0,0.0,14.0,15.0,0.0
2,"(15, 1)",0.0,12.0,15.0,2.2512222222222192e-05,0.0,2.0,7.0,0.0,14.0,15.0,0.0
3,"(15, 1)",1.0,15.0,9.0,2.4218333333333328e-05,6.0,1.0,6.0,0.0,14.0,15.0,0.0
4,"(15, 1)",1.0,15.0,10.0,2.4404444444444425e-05,5.0,2.0,4.0,0.0,14.0,15.0,0.0
5,"(15, 1)",0.0,12.0,15.0,3.0653888888888906e-05,0.0,2.0,7.0,1.0,15.0,15.0,0.0
6,"(15, 1)",0.0,14.0,12.0,3.591388888888893e-05,3.0,2.0,6.0,0.0,14.0,15.0,0.0
7,"(15, 1)",1.0,15.0,7.0,3.477888888888891e-05,7.0,2.0,5.0,1.0,15.0,15.0,0.0
8,"(15, 1)",1.0,15.0,9.0,3.581305555555556e-05,6.0,1.0,6.0,0.0,14.0,15.0,0.0
9,"(15, 1)",0.0,13.0,14.0,3.637861111111109e-05,1.0,2.0,5.0,0.0,14.0,15.0,0.0
10,"(15, 1)",0.0,13.0,14.0,4.1215000000000004e-05,1.0,2.0,9.0,1.0,15.0,15.0,0.0
11,"(15, 1)",0.0,12.0,15.0,3.877611111111111e-05,0.0,2.0,9.0,1.0,15.0,15.0,0.0
12,"(15, 1)",0.0,13.0,15.0,5.319138888888889e-05,0.0,2.0,6.0,1.0,15.0,15.0,0.0
13,"(15, 1)",0.0,14.0,12.0,6.265472222222223e-05,3.0,1.0,6.0,0.0,13.0,15.0,0.0
14,"(15, 1)",1.0,15.0,10.0,7.485333333333337e-05,5.0,2.0,7.0,0.0,14.0,15.0,0.0
15,"(15, 1)",1.0,15.0,6.0,7.581166666666669e-05,9.0,1.0,5.0,1.0,15.0,15.0,0.0
16,"(15, 1)",1.0,15.0,11.0,7.872555555555555e-05,3.0,2.0,8.0,1.0,15.0,15.0,0.0
17,"(15, 1)",1.0,15.0,8.0,7.397055555555556e-05,7.0,2.0,6.0,1.0,15.0,15.0,0.0
18,"(15, 1)",1.0,15.0,7.0,7.787944444444441e-05,7.0,1.0,7.0,1.0,15.0,15.0,0.0
19,"(15, 1)",1.0,15.0,14.0,8.087944444444446e-05,1.0,2.0,6.0,1.0,15.0,15.0,0.0
20,"(15, 2)",0.0,29.0,12.0,3.952166666666664e-05,3.0,2.0,1.0,0.0,29.0,15.0,0.0
21,"(15, 2)",1.0,30.0,12.0,4.7101111111111125e-05,3.0,2.0,2.0,0.0,29.0,15.0,0.0
22,"(15, 2)",1.0,30.0,9.0,5.414249999999997e-05,6.0,2.0,2.0,1.0,30.0,15.0,0.0
23,"(15, 2)",1.0,30.0,10.0,9.240388888888889e-05,5.0,2.0,1.0,1.0,30.0,15.0,0.0
24,"(15, 2)",1.0,30.0,11.0,9.167027777777781e-05,4.0,2.0,1.0,0.0,28.0,15.0,0.0
25,"(15, 2)",1.0,30.0,10.0,9.448222222222223e-05,5.0,3.0,0.0,0.0,29.0,15.0,0.0
26,"(15, 2)",1.0,30.0,11.0,9.408416666666666e-05,4.0,2.0,1.0,1.0,30.0,15.0,0.0
27,"(15, 2)",1.0,30.0,12.0,9.191416666666668e-05,3.0,2.0,1.0,0.0,28.0,15.0,0.0
28,"(15, 2)",1.0,30.0,11.0,9.479222222222219e-05,4.0,2.0,2.0,0.0,28.0,15.0,0.0
29,"(15, 2)",1.0,30.0,11.0,9.247111111111113e-05,4.0,2.0,0.0,0.0,27.0,15.0,0.0
30,"(15, 2)",1.0,30.0,12.0,2.791999999999992e-05,3.0,2.0,0.0,0.0,29.0,15.0,0.0
