,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
31,"(15, 2)",1.0,30.0,12.0,3.461499999999994e-05,2.0,2.0,3.0,0.0,29.0,15.0,0.0
32,"(15, 2)",1.0,30.0,11.0,3.5427777777777714e-05,4.0,2.0,1.0,0.0,29.0,15.0,0.0
33,"(15, 2)",1.0,30.0,12.0,5.217027777777784e-05,3.0,2.0,4.0,0.0,28.0,15.0,0.0
34,"(15, 2)",1.0,30.0,13.0,5.350916666666662e-05,2.0,2.0,3.0,0.0,29.0,15.0,0.0
35,"(15, 2)",1.0,30.0,11.0,5.3221666666666645e-05,4.0,2.0,1.0,0.0,29.0,15.0,0.0
36,"(15, 2)",1.0,30.0,9.0,6.079666666666669e-05,6.0,1.0,2.0,1.0,30.0,15.0,0.0
37,"(15, 2)",1.0,30.0,14.0,6.231388888888892e-05,1.0,2.0,1.0,0.0,27.0,15.0,0.0
38,"(15, 2)",1.0,30.0,12.0,6.486944444444446e-05,3.0,2.0,2.0,0.0,28.0,15.0,0.0
39,"(15, 2)",1.0,30.0,12.0,6.67655555555555e-05,3.0,2.0,2.0,0.0,28.0,15.0,0.0
40,"(15, 15)",0.0,192.0,14.0,0.0008829755555555556,1.0,2.0,0.0,0.0,196.0,15.0,0.0
41,"(15, 15)",0.0,193.0,14.0,0.0015937733333333333,1.0,2.0,0.0,0.0,210.0,15.0,0.0
42,"(15, 15)",0.0,198.0,14.0,0.0016907272222222221,1.0,2.0,0.0,0.0,196.0,15.0,0.0
43,"(15, 15)",0.0,193.0,14.0,0.0016897755555555557,1.0,2.0,0.0,0.0,197.0,15.0,0.0
44,"(15, 15)",0.0,185.0,14.0,0.0016940397222222226,1.0,2.0,0.0,0.0,205.0,15.0,0.0
45,"(15, 15)",0.0,201.0,14.0,0.001695786111111111,1.0,2.0,0.0,0.0,205.0,15.0,0.0
46,"(15, 15)",0.0,202.0,14.0,0.001690698888888889,1.0,2.0,0.0,0.0,195.0,15.0,0.0
47,"(15, 15)",0.0,194.0,14.0,0.001694233888888889,1.0,2.0,0.0,0.0,202.0,15.0,0.0
48,"(15, 15)",0.0,194.0,14.0,0.0016986705555555555,1.0,2.0,0.0,0.0,208.0,15.0,0.0
49,"(15, 15)",0.0,203.0,14.0,0.0016966836111111112,1.0,2.0,0.0,0.0,204.0,15.0,0.0
50,"(15, 15)",0.0,199.0,14.0,0.0007604377777777789,1.0,2.0,0.0,0.0,198.0,15.0,0.0
51,"(15, 15)",0.0,184.0,14.0,0.00114036861111111,1.0,2.0,0.0,0.0,201.0,15.0,0.0
52,"(15, 15)",0.0,195.0,14.0,0.0011586886111111107,1.0,2.0,0.0,0.0,205.0,15.0,0.0
53,"(15, 15)",0.0,193.0,14.0,0.0016423924999999981,1.0,2.0,0.0,0.0,204.0,15.0,0.0
54,"(15, 15)",0.0,202.0,14.0,0.0016425463888888893,1.0,2.0,0.0,0.0,201.0,15.0,0.0
55,"(15, 15)",0.0,201.0,14.0,0.0016480027777777768,1.0,2.0,0.0,0.0,203.0,15.0,0.0
56,"(15, 15)",0.0,199.0,14.0,0.001653081666666668,1.0,2.0,0.0,0.0,191.0,15.0,0.0
57,"(15, 15)",0.0,198.0,14.0,0.0016474191666666668,1.0,2.0,0.0,0.0,196.0,15.0,0.0
58,"(15, 15)",0.0,196.0,14.0,0.0020085155555555566,1.0,2.0,0.0,0.0,205.0,15.0,0.0
59,"(15, 15)",0.0,200.0,14.0,0.002007929999999999,1.0,2.0,0.0,0.0,203.0,15.0,0.0
60,"(15, 20)",0.0,269.0,14.0,0.003548888888888889,1.0,2.0,0.0,0.0,263.0,15.0,0.0
61,"(15, 20)",0.0,265.0,14.0,0.0036746741666666667,1.0,2.0,0.0,0.0,266.0,15.0,0.0
62,"(15, 20)",0.0,276.0,14.0,0.0036798716666666662,1.0,2.0,0.0,0.0,254.0,15.0,0.0
63,"(15, 20)",0.0,255.0,14.0,0.0036875552777777773,1.0,2.0,0.0,0.0,269.0,15.0,0.0
64,"(15, 20)",0.0,254.0,14.0,0.003690374166666667,1.0,2.0,0.0,0.0,267.0,15.0,0.0
65,"(15, 20)",0.0,268.0,14.0,0.0036784391666666665,1.0,2.0,0.0,0.0,268.0,15.0,0.0
66,"(15, 20)",0.0,262.0,14.0,0.003850774444444445,1.0,2.0,0.0,0.0,266.0,15.0,0.0
67,"(15, 20)",0.0,263.0,14.0,0.004546222777777777,1.0,2.0,0.0,0.0,268.0,15.0,0.0
68,"(15, 20)",0.0,259.0,14.0,0.004542378888888889,1.0,2.0,0.0,0.0,266.0,15.0,0.0
69,"(15, 20)",0.0,272.0,14.0,0.004544128333333334,1.0,2.0,0.0,0.0,265.0,15.0,0.0
70,"(15, 20)",0.0,260.0,14.0,0.001989103333333334,1.0,2.0,0.0,0.0,265.0,15.0,0.0
71,"(15, 20)",0.0,265.0,14.0,0.0021962208333333342,1.0,2.0,0.0,0.0,266.0,15.0,0.0
72,"(15, 20)",0.0,266.0,14.0,0.0022596561111111095,1.0,2.0,0.0,0.0,273.0,15.0,0.0
73,"(15, 20)",0.0,272.0,14.0,0.002274687777777778,1.0,2.0,0.0,0.0,270.0,15.0,0.0
74,"(15, 20)",0.0,269.0,14.0,0.0023782219444444448,1.0,2.0,0.0,0.0,279.0,15.0,0.0
75,"(15, 20)",0.0,268.0,14.0,0.0024002961111111117,1.0,2.0,0.0,0.0,263.0,15.0,0.0
76,"(15, 20)",0.0,253.0,14.0,0.003286399444444444,1.0,2.0,0.0,0.0,270.0,15.0,0.0
77,"(15, 20)",0.0,257.0,14.0,0.003316628888888889,1.0,2.0,0.0,0.0,266.0,15.0,0.0
78,"(15, 20)",0.0,269.0,14.0,0.0033180266666666667,1.0,2.0,0.0,0.0,273.0,15.0,0.0
79,"(15, 20)",0.0,266.0,14.0,0.0033169424999999995,1.0,2.0,0.0,0.0,264.0,15.0,0.0
80,"(15, 25)",0.0,316.0,14.0,0.0046424575,1.0,2.0,0.0,0.0,321.0,15.0,0.0
81,"(15, 25)",0.0,315.0,14.0,0.005278724722222222,1.0,2.0,0.0,0.0,334.0,15.0,0.0
82,"(15, 25)",0.0,324.0,14.0,0.005586480277777778,1.0,2.0,0.0,0.0,324.0,15.0,0.0
83,"(15, 25)",0.0,336.0,14.0,0.006697966666666667,1.0,2.0,0.0,0.0,323.0,15.0,0.0
84,"(15, 25)",0.0,324.0,14.0,0.0067229291666666665,1.0,2.0,0.0,0.0,334.0,15.0,0.0
85,"(15, 25)",0.0,333.0,14.0,0.007685935,1.0,2.0,0.0,0.0,333.0,15.0,0.0
86,"(15, 25)",0.0,323.0,14.0,0.007699338055555557,1.0,2.0,0.0,0.0,331.0,15.0,0.0
87,"(15, 25)",0.0,341.0,14.0,0.007694553888888889,1.0,2.0,0.0,0.0,343.0,15.0,0.0
88,"(15, 25)",0.0,328.0,14.0,0.007704521944444444,1.0,2.0,0.0,0.0,336.0,15.0,0.0
89,"(15, 25)",0.0,327.0,14.0,0.007706938055555555,1.0,2.0,0.0,0.0,339.0,15.0,0.0
90,"(15, 25)",0.0,320.0,14.0,0.0015543997222222236,1.0,2.0,0.0,0.0,327.0,15.0,0.0
91,"(15, 25)",0.0,323.0,14.0,0.001897658055555556,1.0,2.0,0.0,0.0,324.0,15.0,0.0
92,"(15, 25)",0.0,326.0,14.0,0.0021906525000000006,1.0,2.0,0.0,0.0,339.0,15.0,0.0
93,"(15, 25)",0.0,333.0,14.0,0.0024211441666666662,1.0,2.0,0.0,0.0,338.0,15.0,0.0
94,"(15, 25)",0.0,327.0,14.0,0.004113288611111109,1.0,2.0,0.0,0.0,329.0,15.0,0.0
95,"(15, 25)",0.0,323.0,14.0,0.004278072222222222,1.0,2.0,0.0,0.0,329.0,15.0,0.0
96,"(15, 25)",0.0,333.0,14.0,0.004597181388888889,1.0,2.0,0.0,0.0,348.0,15.0,0.0
97,"(15, 25)",0.0,335.0,14.0,0.004719031111111113,1.0,2.0,0.0,0.0,329.0,15.0,0.0
98,"(15, 25)",0.0,335.0,14.0,0.004736694999999999,1.0,2.0,0.0,0.0,341.0,15.0,0.0
99,"(15, 25)",0.0,340.0,14.0,0.004762403611111109,1.0,2.0,0.0,0.0,332.0,15.0,0.0
