,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(1, 1)",0.0,127.0,64.0,0.00022100138888888886,0.0,2.0,0.0,0.0,67.0,64.0,0.0
1,"(1, 1)",0.0,133.0,64.0,0.00047900444444444435,0.0,2.0,0.0,0.0,67.0,64.0,0.0
2,"(1, 1)",0.0,131.0,64.0,0.0011887669444444443,0.0,2.0,0.0,0.0,67.0,64.0,0.0
3,"(1, 1)",0.0,129.0,64.0,0.0014468791666666667,0.0,2.0,0.0,0.0,67.0,64.0,0.0
4,"(1, 1)",0.0,132.0,64.0,0.001677128611111111,0.0,2.0,0.0,0.0,67.0,64.0,0.0
5,"(1, 1)",0.0,143.0,64.0,0.001831601388888889,0.0,2.0,0.0,0.0,67.0,64.0,0.0
6,"(1, 1)",0.0,128.0,64.0,0.002015274444444445,0.0,2.0,0.0,0.0,67.0,64.0,0.0
7,"(1, 1)",0.0,136.0,64.0,0.0020697194444444446,0.0,2.0,0.0,0.0,67.0,64.0,0.0
8,"(1, 1)",0.0,137.0,64.0,0.0022137908333333335,0.0,2.0,0.0,0.0,67.0,64.0,0.0
9,"(1, 1)",0.0,114.0,64.0,0.002213525277777778,0.0,2.0,0.0,0.0,67.0,64.0,0.0
10,"(1, 1)",0.0,138.0,64.0,0.0017216697222222225,0.0,2.0,0.0,0.0,67.0,64.0,0.0
11,"(1, 1)",0.0,140.0,64.0,0.0003832577777777778,0.0,2.0,0.0,0.0,67.0,64.0,0.0
12,"(1, 1)",0.0,134.0,64.0,0.0005292047222222222,0.0,2.0,0.0,0.0,67.0,64.0,0.0
13,"(1, 1)",0.0,125.0,64.0,0.0007692350000000002,0.0,2.0,0.0,0.0,67.0,64.0,0.0
14,"(1, 1)",0.0,139.0,64.0,0.0010586938888888886,0.0,2.0,0.0,0.0,67.0,64.0,0.0
15,"(1, 1)",0.0,139.0,64.0,0.0014155316666666668,0.0,2.0,0.0,0.0,67.0,64.0,0.0
16,"(1, 1)",0.0,139.0,64.0,0.001994628611111111,0.0,2.0,0.0,0.0,67.0,64.0,0.0
17,"(1, 1)",0.0,130.0,64.0,0.0021795363888888887,0.0,2.0,0.0,0.0,67.0,64.0,0.0
18,"(1, 1)",0.0,133.0,64.0,0.0021988094444444443,0.0,2.0,0.0,0.0,67.0,64.0,0.0
19,"(1, 1)",0.0,136.0,64.0,0.002199678611111111,0.0,2.0,0.0,0.0,67.0,64.0,0.0
20,"(1, 2)",0.0,132.0,64.0,0.00027990722222222226,0.0,2.0,0.0,0.0,67.0,64.0,0.0
21,"(1, 2)",0.0,135.0,64.0,0.0004000358333333334,0.0,2.0,0.0,0.0,67.0,64.0,0.0
22,"(1, 2)",0.0,143.0,64.0,0.00044076361111111115,0.0,2.0,0.0,0.0,67.0,64.0,0.0
23,"(1, 2)",0.0,128.0,64.0,0.0013263252777777777,0.0,2.0,0.0,0.0,67.0,64.0,0.0
24,"(1, 2)",0.0,133.0,64.0,0.001401643611111111,0.0,2.0,0.0,0.0,67.0,64.0,0.0
25,"(1, 2)",0.0,140.0,64.0,0.001719915277777778,0.0,2.0,0.0,0.0,67.0,64.0,0.0
26,"(1, 2)",0.0,137.0,64.0,0.0017991644444444444,0.0,2.0,0.0,0.0,67.0,64.0,0.0
27,"(1, 2)",0.0,137.0,64.0,0.0019184255555555552,0.0,2.0,0.0,0.0,67.0,64.0,0.0
28,"(1, 2)",0.0,142.0,64.0,0.0020676319444444444,0.0,2.0,0.0,0.0,67.0,64.0,0.0
29,"(1, 2)",0.0,127.0,64.0,0.0022151005555555558,0.0,2.0,0.0,0.0,67.0,64.0,0.0
30,"(1, 2)",0.0,137.0,64.0,0.001169699722222222,0.0,2.0,0.0,0.0,67.0,64.0,0.0
31,"(1, 2)",0.0,136.0,64.0,0.00030912000000000024,0.0,2.0,0.0,0.0,67.0,64.0,0.0
32,"(1, 2)",0.0,114.0,64.0,0.001020498333333333,0.0,2.0,0.0,0.0,67.0,64.0,0.0
33,"(1, 2)",0.0,124.0,64.0,0.0011265233333333337,0.0,2.0,0.0,0.0,67.0,64.0,0.0
34,"(1, 2)",0.0,143.0,64.0,0.0012119172222222218,0.0,2.0,0.0,0.0,67.0,64.0,0.0
35,"(1, 2)",0.0,135.0,64.0,0.0015155388888888888,0.0,2.0,0.0,0.0,67.0,64.0,0.0
36,"(1, 2)",0.0,126.0,64.0,0.0016513105555555556,0.0,2.0,0.0,0.0,67.0,64.0,0.0
37,"(1, 2)",0.0,137.0,64.0,0.0020013411111111114,0.0,2.0,0.0,0.0,67.0,64.0,0.0
38,"(1, 2)",0.0,126.0,64.0,0.0020404519444444445,0.0,2.0,0.0,0.0,67.0,64.0,0.0
39,"(1, 2)",0.0,124.0,64.0,0.002047281944444444,0.0,2.0,0.0,0.0,67.0,64.0,0.0
