,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(5, 20)",0.0,90.0,4.0,0.00014229166666666662,1.0,2.0,0.0,0.0,87.0,5.0,0.0
1,"(5, 20)",0.0,84.0,4.0,0.00014259666666666666,1.0,2.0,0.0,0.0,82.0,5.0,0.0
2,"(5, 20)",0.0,86.0,4.0,0.00019326361111111115,1.0,2.0,0.0,0.0,80.0,5.0,0.0
3,"(5, 20)",0.0,96.0,4.0,0.0001201430555555555,1.0,2.0,0.0,0.0,85.0,5.0,0.0
4,"(5, 20)",0.0,84.0,4.0,0.0002377280555555556,1.0,2.0,0.0,0.0,80.0,5.0,0.0
5,"(5, 20)",0.0,94.0,4.0,0.0002595113888888889,1.0,2.0,0.0,0.0,82.0,5.0,0.0
6,"(5, 20)",0.0,88.0,4.0,0.0003742066666666666,1.0,2.0,0.0,0.0,87.0,5.0,0.0
7,"(5, 20)",0.0,93.0,4.0,0.0003732369444444445,1.0,2.0,0.0,0.0,88.0,5.0,0.0
8,"(5, 20)",0.0,81.0,4.0,0.00051637,1.0,2.0,0.0,0.0,83.0,5.0,0.0
9,"(5, 20)",0.0,90.0,4.0,0.0005158236111111111,1.0,2.0,0.0,0.0,82.0,5.0,0.0
10,"(5, 20)",0.0,84.0,4.0,0.00014020916666666666,1.0,2.0,0.0,0.0,80.0,5.0,0.0
11,"(5, 20)",0.0,93.0,4.0,0.00014074250000000005,1.0,2.0,0.0,0.0,84.0,5.0,0.0
12,"(5, 20)",0.0,88.0,4.0,0.0002105591666666668,1.0,2.0,0.0,0.0,82.0,5.0,0.0
13,"(5, 20)",0.0,89.0,4.0,0.00027506527777777784,1.0,2.0,0.0,0.0,88.0,5.0,0.0
14,"(5, 20)",0.0,90.0,4.0,0.0002019772222222222,1.0,2.0,0.0,0.0,84.0,5.0,0.0
15,"(5, 20)",0.0,90.0,4.0,0.0003463399999999998,1.0,2.0,0.0,0.0,78.0,5.0,0.0
16,"(5, 20)",0.0,86.0,4.0,0.00035942500000000013,1.0,2.0,0.0,0.0,80.0,5.0,0.0
17,"(5, 20)",0.0,86.0,4.0,0.0004486916666666666,1.0,2.0,0.0,0.0,81.0,5.0,0.0
18,"(5, 20)",0.0,88.0,4.0,0.0005067183333333333,1.0,2.0,0.0,0.0,86.0,5.0,0.0
19,"(5, 20)",0.0,92.0,4.0,0.0005129941666666666,1.0,2.0,0.0,0.0,86.0,5.0,0.0
